Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1344.36 100.138999 0.0000000000000000 0.000000 248.756268 -1158795.264782 30.099127 124.463917 -19.883535 1419.225056 -6.304 -6.304 0.000000 3.326974 0.000 0 0.000
43901.00 1344.16 100.138999 0.0000000000000000 0.000000 248.756268 -1159096.265680 30.101053 124.470327 -19.890553 1419.158089 -6.309 -6.309 0.000000 3.326761 0.000 0 0.000
43801.00 1343.96 100.138999 0.0000000000000000 0.000000 248.756268 -1159397.285852 30.102982 124.476738 -19.897576 1419.091270 -6.313 -6.313 0.000000 3.326548 0.000 0 0.000
43701.00 1343.76 100.138999 0.0000000000000000 0.000000 248.756268 -1159698.325320 30.104912 124.483149 -19.904603 1419.024599 -6.318 -6.318 0.000000 3.326334 0.000 0 0.000
43601.00 1343.56 100.138999 0.0000000000000000 0.000000 248.756268 -1159999.384107 30.106845 124.489560 -19.911635 1418.958078 -6.323 -6.323 0.000000 3.326121 0.000 0 0.000
43501.00 1343.37 100.138999 0.0000000000000000 0.000000 248.756268 -1160300.462235 30.108781 124.495972 -19.918672 1418.891709 -6.327 -6.327 0.000000 3.325907 0.000 0 0.000
43401.00 1343.17 100.138999 0.0000000000000000 0.000000 248.756268 -1160601.559725 30.110718 124.502383 -19.925714 1418.825491 -6.332 -6.332 0.000000 3.325693 0.000 0 0.000
43301.00 1342.97 100.138999 0.0000000000000000 0.000000 248.756268 -1160902.676600 30.112657 124.508795 -19.932761 1418.759427 -6.337 -6.337 0.000000 3.325479 0.000 0 0.000
43201.00 1342.77 100.138999 0.0000000000000000 0.000000 248.756268 -1161203.812882 30.114599 124.515207 -19.939813 1418.693518 -6.342 -6.342 0.000000 3.325264 0.000 0 0.000
43101.00 1342.57 100.138999 0.0000000000000000 0.000000 248.756268 -1161504.968594 30.116543 124.521620 -19.946870 1418.627765 -6.347 -6.347 0.000000 3.325050 0.000 0 0.000
