Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1418.27 100.138987 0.0000000000000000 0.000000 254.437337 -1149397.290514 30.216144 125.019341 -19.907391 1453.799600 -5.827 -5.827 0.000000 3.314089 0.000 0 0.000
43901.00 1418.06 100.138987 0.0000000000000000 0.000000 254.437337 -1149699.461659 30.218086 125.026193 -19.914510 1453.730147 -5.832 -5.832 0.000000 3.313876 0.000 0 0.000
43801.00 1417.85 100.138987 0.0000000000000000 0.000000 254.437337 -1150001.652235 30.220030 125.033045 -19.921634 1453.660867 -5.837 -5.837 0.000000 3.313663 0.000 0 0.000
43701.00 1417.63 100.138987 0.0000000000000000 0.000000 254.437337 -1150303.862268 30.221977 125.039899 -19.928764 1453.591763 -5.842 -5.842 0.000000 3.313449 0.000 0 0.000
43601.00 1417.42 100.138987 0.0000000000000000 0.000000 254.437337 -1150606.091781 30.223926 125.046752 -19.935899 1453.522835 -5.847 -5.847 0.000000 3.313236 0.000 0 0.000
43501.00 1417.20 100.138987 0.0000000000000000 0.000000 254.437337 -1150908.340801 30.225878 125.053607 -19.943040 1453.454086 -5.851 -5.851 0.000000 3.313022 0.000 0 0.000
43401.00 1416.99 100.138987 0.0000000000000000 0.000000 254.437337 -1151210.609352 30.227833 125.060462 -19.950187 1453.385517 -5.856 -5.856 0.000000 3.312807 0.000 0 0.000
43301.00 1416.78 100.138987 0.0000000000000000 0.000000 254.437337 -1151512.897460 30.229789 125.067318 -19.957339 1453.317130 -5.861 -5.861 0.000000 3.312593 0.000 0 0.000
43201.00 1416.56 100.138987 0.0000000000000000 0.000000 254.437337 -1151815.205151 30.231749 125.074174 -19.964497 1453.248925 -5.866 -5.866 0.000000 3.312378 0.000 0 0.000
43101.00 1416.35 100.138987 0.0000000000000000 0.000000 254.437337 -1152117.532449 30.233711 125.081032 -19.971661 1453.180906 -5.871 -5.871 0.000000 3.312163 0.000 0 0.000
43001.00 1416.14 100.138987 0.0000000000000000 0.000000 254.437337 -1152419.879382 30.235676 125.087890 -19.978831 1453.113073 -5.876 -5.876 0.000000 3.311948 0.000 0 0.000
